Doklad;"Datum vystavení";"Datum splatnosti";"Datum úhrady";"Spoleènost dodavatele";"IÈO dodavatele";"DIÈ dodavatele";"Ulice dodavatele";"Mìsto dodavatele";"PSÈ dodavatele";"Zemì dodavatele";Štítek;"Položky poèet";"Položky MJ";"Položky text";"Položky cena";"Položky %DPH";"Položky typ DPH";"ID èíselné øady";"ID pøedkontace";"ID èlenìní DPH";"Variabilní Symbol";"Konstantní Symbol";"Specifický Symbol";"Výpoèet DPH";Mìna;"Celkem bez DPH";"Celkem s DPH";Zaokrouhlení;"Celkem k úhradì"
N20260017;02.02.2026;;;"Alza.cz a.s.";27082440;CZ27082440;"Jankovcova 1522/53";Praha;17000;"Èeská republika";;1;ks;;777.06;21;2;269732;;0;;;;2;CZK;642.20;777.06;0.00;777.06
N20260018;13.02.2026;;;"ORLEN Unipetrol RPA s.r.o.";27597075;CZ699000139;"Záluží 1";Litvínov;43601;"Èeská republika";;1;ks;;957.90;21;2;269732;;0;;;;2;CZK;791.65;957.90;0.00;957.90
N20260019;21.02.2026;;;"ORLEN Unipetrol RPA s.r.o.";27597075;CZ699000139;"Záluží 1";Litvínov;43601;"Èeská republika";;1;ks;;1454.00;21;2;269732;;0;;;;2;CZK;1201.65;1454.00;0.00;1454.00
N20260020;04.03.2026;;;"AUTO JAROV, s.r.o.";45789584;CZ45789584;"Osiková 2, è.p. 2688";"Praha 3";13000;"Èeská republika";;1;ks;;8483.21;21;2;269732;;0;;;;2;CZK;7010.92;8483.21;0.00;8483.21
N20260021;06.03.2026;;;"ORLEN Unipetrol RPA s.r.o.";27597075;CZ699000139;"Záluží 1";Litvínov;43601;"Èeská republika";;1;ks;;1571.60;21;2;269732;;0;;;;2;CZK;1298.84;1571.60;0.00;1571.60
N20260022;06.03.2026;;;"Alza.cz a.s.";27082440;CZ27082440;"Jankovcova 1522/53";Praha;17000;"Èeská republika";;1;ks;;307.32;21;2;269732;;0;;;;2;CZK;253.98;307.32;0.00;307.32
N20260023;08.03.2026;;;"Žerotín, a.s.";63495465;CZ63495465;"Za Drahou 1331";Strážnice;69662;"Èeská republika";;1;ks;;895.00;21;2;269732;;0;;;;2;CZK;739.67;895.00;0.00;895.00
N20260024;11.03.2026;;;"Tank ONO, s.r.o.";48365289;CZ48365289;"Domažlická 674/160";Plzeò;31800;"Èeská republika";;1;ks;;1534.00;21;2;269732;;0;;;;2;CZK;1267.77;1534.00;0.00;1534.00
N20260025;14.03.2026;;;"Tank ONO, s.r.o.";48365289;CZ48365289;"Domažlická 674/160";Plzeò;31800;"Èeská republika";;1;ks;;2392.00;21;2;269732;;0;;;;2;CZK;1976.86;2392.00;0.00;2392.00
N20260026;18.03.2026;;;"AUTO JAROV, s.r.o.";45789584;CZ45789584;"Osiková 2688/2";Praha;13000;"Èeská republika";;1;ks;;1547.50;21;2;269732;;0;;;;2;CZK;1278.93;1547.50;0.00;1547.50
